Additional Features,Antivirus,Backlit Keyboard,Battery Backup,Battery Cell,Bluetooth,Brand,Brightness,Cache,Certification,Chipset,Clock Speed,Color,Color Gamut,Covered in Warranty,Dedicated Graphic Memory Capacity,Dedicated Graphic Memory Type,Dimensions,Disk Drive,Dock Port,Domestic Warranty,EMMC Storage Capacity,Ethernet,Expandable Memory,Expandable SSD Capacity,Face Recognition,Finger Print Sensor,Firewire Port,Graphic Processor,HDD Capacity,HDMI Port,Hardware Interface,Inbuilt 4G LTE,Included Software,Internal Mic,International Warranty,Keyboard,Laptop Bag,Lock Port,MS Office Provided,Memory Slots,Mic In,Model Name,Model Number,Multi Card Slot,NFC Support,Not Covered in Warranty,Number of Cores,OS Architecture,Operating System,Optane Memory,Other Accessories,Part Number,Pointer Device,Power Supply,Price,Processor Brand,Processor Generation,Processor Name,Processor Variant,RAM,RAM Frequency,RAM Type,RJ11,RJ45,RPM,Read/Write Speed,Recovery Options,Refresh Rate,S-video,SSD,SSD Capacity,Sales Package,Screen Resolution,Screen Size,Screen Type,Security Chip,Series,Sound Chip,Sound Properties,Speakers,Storage Type,Stylus Included,Suitable For,Supported Operating System,System Architecture,TGP,Touchscreen,Type,USB Port,VGA Port,Warranty Service Type,Warranty Summary,Web Camera,Weight,Wireless LAN,Wireless WAN
"41 Wh Li-ion, Support battery fast charge",,,,3,v5.0,HP 15s Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) 15s-fr2511TU Thin and Light L...,,6,,,Up to 4.1 GHz,Natural Silver,,Manufacturing Defects,,,358 x 242 x 17.9 mm,Not Available,,1 Year,,,,,,,,Intel Integrated UHD Graphics,,1x HDMI 1.4b,PCIe NVMe,,"Microsoft Office 2021 Home & Student, HP Documentation, HP BIOS recovery, HP Smart",Integrated dual array digital Microphones,,Full-size island-style Natural Silver keyboard with numeric keypad,,,Yes,,Yes,15s-fr2511TU,15s-fr2511TU,1x multi-format SD media card reader,,Physical Damage,2,64 bit,Windows 11 Home,,,6N049PA#ACJ,"HP Imagepad with multi-touch gesture support, Precision Touchpad Support",,"₹35,900",Intel,11th Gen,Core i3,1115G4,8 GB,3200 MHz,DDR4,,No,,,,,,Yes,512 GB,"Laptop, Power Adapter, User Guide, Warranty Documents",1920 x 1080 Pixel,39.62 cm (15.6 Inch),"FHD, micro-edge,anti-glare (Brightness 250 nits, 141 ppi, Color Gamut 45% NTSC)",,15s,,,Dual Speakers,SSD,,"Everyday Use, Processing & Multitasking",Windows 11 Home,64,,No,Thin and Light Laptop,"1x SuperSpeed USB Type-C 5Gbps signaling rate, 2x SuperSpeed USB Type-A 5Gbps signaling rate",,Onsite,1 Year Onsite Warranty,HP True Vision HD Camera,1.69 Kg,Realtek RTL8821CE 802.11b/g/n/ac (2x2),
,,Yes,,,v5.1,Acer Nitro V Intel Core i5 13th Gen 13420H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,,,,,Max Frequency up to 4.6 GHz,Obsidian Black,,Manufacturing Defects,4 GB,GDDR6,362.3 x 239.89 x 27 mm,Not Available,,,,,,,,,,NVIDIA GeForce RTX 2050,,,,,,,,99-/100-/103-key Acer keyboard layout with international language support including indicators of CapsLock and F4/Microphone mute,,,No,,,ANV15-51,ANV15-51,,,Physical Damage,,,Windows 11 Home,,,NH.QNASI.001,,,"₹62,990",Intel,13th Gen,Core i5,13420H,8 GB,,DDR5,,,,,,,,Yes,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",1920 X 1080 Pixel,39.62 cm (15.6 Inch),"Full HD display with IPS (In-Plane Switching) technology, Acer ComfyView LED-backlit TFT LCD, 16:9 aspect ratio, supporting 144 Hz refresh rate. Wide viewing angle up to 170 degrees, Ultra-slim design, Mercury free, environment friendly",,Nitro V,,,,SSD,,Gaming,,,,No,Gaming Laptop,"2 x USB 3.2 Gen 1 port, 1 x USB 3.2 Gen 1 port with power-off charging, 1 x USB Type-C port with (Thunderbolt 4)",,Onsite,1 Year International Travelers Warranty (ITW),UFC with T-Type HD camera with Blue Glass lens with 1280 x 720 resolution and 720p HD video at 30 fps with Temporal Noise Reduction with Dual Mic,2.1 Kg,Wi-Fi 6E AX201 Wireless LAN,
,,Yes,Upto 10 Hours,,v5.2,Infinix ZERO BOOK Series Laptop Intel Intel Core i7 12th Gen 12700H - (16 GB/512 GB SSD/Windows 11 Hom...,,,,,2.3 GHz with Max Turbo Boost Frequency Up to 4.70 GHz,Silver,,Manufacturing Defects,,,,Not Available,,1 Year,,,,,,Yes,,Intel Integrated Iris Xe,,1 x HDMI 1.4,,,,Yes,,Full-size Backlit Chiclet Keyboard,,,Yes,,,ZL12,ZL12,,,Physical Damage,14,,Windows 11 Home,,,71008300970,,,"₹65,340",Intel,12th Gen,Core i7,12700H,16 GB,,LPDDR5,,,,,,,,Yes,512 GB,1 Laptop :: 1 Power Adaptor:: 1 User Guide:: 1 Warranty Documents,1920 x 1080 Pixel,39.62 cm (15.6 inch),"Full HD IPS Display (400nits peak brightness, 100% sRGB, NTSC 72%)",,ZERO BOOK Series Laptop Intel,,,Built-in Speakers,SSD,,Processing & Multitasking,Windows 11 Home,,,No,Business Laptop,"2 x USB 3.0, 2 x USB-C type",,Onsite,1 Year Onsite Warranty,Mi-Pi AI-enhanced FHD BeautyCam,1.80 Kg,Wi-Fi 6E R2(tri-band),
Integrated 45Wh Battery,,Yes,,,v5.2,Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 15IAU7 Thin and...,,12,,Intel SoC Platform,,Arctic Grey,,Manufacturing Defects,,,359.2 x 236.5 x 19.9 mm,Not Available,,2 Year,,,16,NA,,No,,Intel Integrated UHD Graphics,,1x HDMI 1.4b,PCIe NVMe,,,Dual Array Microphone,,"Backlit, English",,,Yes,,Yes,15IAU7,15IAU7,1x Card reader,,Physical Damage,10,64 bit,Windows 11 Home,,,82RK0062IN|82RK00EDIN,,65W Round Tip (3-pin),"₹46,450",Intel,12th Gen,Core i5,1235U,8 GB,3200 MHz,DDR4,,,,,,,,Yes,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",1920 x 1080 Pixel,39.62 cm (15.6 Inch),"FHD, TN 250nits Anti-glare",Firmware TPM 2.0,IdeaPad Slim 3,High Definition Audio,Dolby Audio,Dual Stereo Speakers,SSD,,"Processing & Multitasking, Entertainment, Everyday Use, Learning, Performance, Travel & Business",Windows 11 Home,64,,No,Thin and Light Laptop,"1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1 (support data transfer, Power Delivery 3.0, and DisplayPort 1.2)",,Onsite,2 Yr Warranty,HD 720p with Privacy Shutter,1.63 Kg,"Wi-Fi 6 11ax, 2x2",
,,No,Upto 10 Hours,,v5.1,Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15IAU7 Thin and...,,,,,0.9 GHz upto max turbo frequency at 4.4 Ghz,Arctic Grey,,Manufacturing Defects,,,,Not Available,,,,BR99X924BCQA,16GB,NA,,No,,Intel Integrated UHD,,,,,,Yes,,"Non-backlit, English",,,Yes,,,15IAU7,15IAU7,,,Physical Damage,,,Windows 11 Home,,,82RK00VTIN,,,"₹34,200",Intel,12th Gen,Core i3,1215U,8 GB,,DDR4,,,,,,,,Yes,512 GB,"Laptop, battery, power adapter, user guide",1920 x 1080 Pixel,39.62 cm (15.6 inch),Full HD TN 250nits Anti-glare,,IdeaPad Slim 3,,,Yes,SSD,,"Processing & Multitasking, Entertainment, Everyday Use, Learning, Performance, Travel & Business",,,,No,Thin and Light Laptop,"1 x USB 3.2 Gen 1, 1 x USB 3.2 Gen 1 (Always On), 1 x USB-C 3.2 Gen 1 (support data transfer, Power Delivery 3.0 and DisplayPort 1.2)",,Carry-in,1 Yr. Onsite + 1 Yr. Accidental Damage Protection,HD 720p with Privacy Shutter,1.63 Kg,"Wi-Fi 6, 11ax 2x2",
,McAfee,No,Upto 7 hours,3 Cell,Yes,DELL Inspiron AMD Ryzen 3 Quad Core 5425U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3525 Thin and L...,,8 MB,,,"Base Frequency 2.7 GHz, Max Turbo Frequency at 4.1 GHz",Platinum Silver,,Manufacturing Defects,,,358 x 235 x 16.9 mm,Not Available,,1 Year,,Available,16,,,,,AMD Radeon AMD,,1 x HDMI 1.4,M.2 SATA,,Microsoft Office Home & Student 2021,Yes,,Standard Keyboard,,Kensington Lock Port,Yes,2,Yes,Inspiron 3525,Inspiron 3525,1 x SD Card 3.0,,Physical Damage,4,64 bit,Windows 11 Home,,,D560764WIN9S,Touchpad,,"₹40,500",AMD,,Ryzen 3 Quad Core,5425U,8 GB,3200 MHz,DDR4,,,,,,,,Yes,512 GB,"Laptop, Battery, Adapter, Cables and User Manuals",1920 x 1080 Pixels,39.62 cm (15.6 inch),"Full HD, WVAAG Narrow Border, Refresh Rate: 120 Hz, Brightness: 250 nits",,Inspiron,,Waves Maxx Audio Pro,Yes,SSD,,Everyday Use,Windows 11 Home,64 bit,,No,Thin and Light Laptop,"1 x USB 3.2 Gen 1 Port, 1 x USB 3.2 Gen 1 Type-C Port, 1 x USB 2.0 Port",,Onsite,1 Year Onsite Hardware Service,HD,1.68 kg,WiFi 802.11ac 1x1,
,,,6 HOUR,,V5.0,Lenovo AMD Athlon Dual Core - (4 GB/256 GB SSD/DOS) E41-55 45-2 Laptop,,,,,,Iron_grey,,MANUFACTURING DEFACTS,,DDR4,,Not Available,,,,,,,,,,AMD Radeon RADEON,,,,,,,,,,,No,,,E41-55,E41-55 45-2,,,Physical Damage,,,DOS,,,82FJ00AGIH,,,"₹20,500",AMD,,Athlon Dual Core,,4 GB,,DDR4,,,,,,,,Yes,256 GB,"LAPTOP, adopter",HD pixel,35.56 cm (14 inch),,,,,,,SSD,,"Everyday Use, Entertainment, Processing & Multitasking, Travel & Business, Performance",,,,No,Laptop,,,ON SITE,1 year warranty,,,,
,,,Upto 13 Hours,,Yes,MICROSOFT Surface Laptop (7th Edition) AI PC Qualcomm Snapdragon X Plus - (16 GB/256 GB SSD/Windows 11...,,,,,,Platinum,,Software & Hardware Only,,,301 x 220 x 17.5 mm,Not Available,,,,,,,,,,Qualcomm Snapdragon X Elite - X1P64100 - Qualcomm Adreno GPU (10 Core),,,,,,Dual Studio Mics with Voice Focus,,,,,No,,,ZGJ-00023,ZGJ-00023,,,Physical Damage,,,Windows 11 Home,,,ZGJ-00023,,,"₹1,13,990",Qualcomm,,Snapdragon X Plus,,16 GB,,LPDDR5X,,,,,,,,Yes,256 GB,"Laptop, Power Supply, Quick Start Guide, Safety and Warranty Documents",2304 x 1536 Pixel,35.05 cm (13.8 Inch),LCD PixelSense TM Touchscreen,,Surface Laptop (7th Edition) AI PC,,,2W stereo speakers with Dolby Atmos,SSD,,Processing & Multitasking,,,,Yes,Laptop,"2 x USB-C with USB4, 1 x USB-A 3.1",,Onsite,1 Year Onsite Warranty,"2MP, 1080p Full HD front facing",1.22 Kg,Wi-Fi 7,
,,No,Upto 10 Hours,,v5.1,Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15IAU7 Thin and...,,,,,0.9 GHz upto max turbo frequency at 4.4 Ghz,Arctic Grey,,Manufacturing Defects,,,,Not Available,,,,BR99X924BCQA,16GB,NA,,No,,Intel Integrated UHD,,,,,,Yes,,"Non-backlit, English",,,Yes,,,15IAU7,15IAU7,,,Physical Damage,,,Windows 11 Home,,,82RK00VTIN,,,"₹34,200",Intel,12th Gen,Core i3,1215U,8 GB,,DDR4,,,,,,,,Yes,512 GB,"Laptop, battery, power adapter, user guide",1920 x 1080 Pixel,39.62 cm (15.6 inch),Full HD TN 250nits Anti-glare,,IdeaPad Slim 3,,,Yes,SSD,,"Processing & Multitasking, Entertainment, Everyday Use, Learning, Performance, Travel & Business",,,,No,Thin and Light Laptop,"1 x USB 3.2 Gen 1, 1 x USB 3.2 Gen 1 (Always On), 1 x USB-C 3.2 Gen 1 (support data transfer, Power Delivery 3.0 and DisplayPort 1.2)",,Carry-in,1 Yr. Onsite + 1 Yr. Accidental Damage Protection,HD 720p with Privacy Shutter,1.63 Kg,"Wi-Fi 6, 11ax 2x2",
"Integrated 60Wh Battery, AI Chip: LA1",,Yes,Upto 5.32 Hours,,v5.1,Lenovo LOQ Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFo...,,24 MB,,Intel SoC Platform,"Base Frequency 2.4 GHz, Max Turbo Boost at 4.9 GHz",Storm Grey,,Manufacturing Damage,8 GB,GDDR6,359.6 x 264.8 x 22.1 mm,Not Available,,1 Year,,100/1000M (RJ-45),16 GB,,,,,NVIDIA GeForce RTX 4060,,"1 x HDMI 2.1, Upto 8K/60Hz",PCIe 4.0 x 4 NVMe,,Microsoft Office Home & Student 2021,Dual Array Microphone,,"White Backlit, English",,,Yes,2,Yes,15IRH8,15IRH8,,,Physical Damage,10,,Windows 11 Home,,,82XV00BRIN,,170W Slim Tip Adapter (3 Pin),"₹1,06,990",Intel,13th Gen,Core i7,13620H,16 GB,,DDR5,,Yes,5200,,,,,Yes,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",1920 x 1080 Pixels,39.62 cm (15.6 Inch),"Full HD, IPS, 350nits Anti-glare, 45% NTSC, Refresh Rate: 144Hz, G-SYNC",Firmware TPM 2.0 Enabled,LOQ,"High Definition (HD) Audio, Realtek ALC3287 Codec",Nahimic Gaming Audio,2W Dual Stereo Speakers,SSD,,"Everyday Use, Gaming, Processing & Multitasking, Entertainment, Learning, Performance, Travel & Business",Windows 11,,,No,Gaming Laptop,"1 x USB 3.2 Gen 1, 2 x USB 3.2 Gen 2, 1 x USB-C 3.2 Gen 2 (Support Data Transfer, Power Delivery 140W and DisplayPort 1.4)",,Carry-In,1Yr Warranty and 1 Yr Accidental Damage Protection,Full HD 1080p with E Shutter,2.4 kg,"Wi-Fi 6, 11ax 2x2",
,,Yes,Upto 12 hours,54Wh,Yes,realme Book Prime Intel Core i5 11th Gen 11320H - (16 GB/512 GB SSD/Windows 11 Home) CloudPro002 Thin ...,,8,,Intel i5-11320H,Base 3.2 GHz Turbo Boost Upto 4.5 GHz,Blue,,Manufacturing Defects,,,307.21 x 228.96 x 15.55 mm,Not Available,,1 Year,,,,,,Yes,,Intel Integrated Iris Xe,,,,,,,,Backlit Keyboard,,,Yes,,,Book Prime,CloudPro002,,No,Physical Damage,,,Windows 11 Home,,,130290120209,Smooth surface muilt-touch Trackpad with Gesture support,65W Type-C Adaptor,"₹64,999",Intel,11th Gen,Core i5,11320H,16 GB,4266 MHz,LPDDR4X,,,,,,,,Yes,512 GB,"Laptop, Power Adaptor, Battery, Warranty Documents, User Guide",2160 x 1440 Pixel,35.56 cm (14 inch),"Quad HD, 60 Hz Refresh Rate",,Book Prime,,,,SSD,,"Entertainment, Performance, Processing & Multitasking",Windows 11 Home,,,No,Thin and Light Laptop,"1 x USB Gen 3.2 Thunderbolt 4, 1 x Type C USB 3.2 Gen 2 , 1 x Type A USB Gen 3.1 Gen 1",,Carry-in to Realme Service Center or Reach our Customer Support,1 Year Domestic Warranty,,1.37 kg,,
,,Yes,,,v5.3,ASUS ROG Strix G16 Intel Core i5 13th Gen 13450HX - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVID...,,,,,Max Turbo Frequency up to 4.6 GHz,Gray,,Manufacturing Defect,6 GB,GDDR6,354 x 264 x 30.4 mm,Not Available,,,,,,,,No,,NVIDIA GeForce RTX 3050,,,,,,Yes,,Backlit Chiclet Keyboard 4-Zone RGB,,,Yes,,,G614JJ-N3088WS,G614JJ-N3088WS,,,Physical Damage,,,Windows 11 Home,,,90NR0D51-M004N0,,,"₹97,990",Intel,13th Gen,Core i5,13450HX,16 GB,,DDR5,,,,,,,,Yes,1 TB,"Laptop, Power Adapter, Warranty Documents, User Manual",1920 x 1200 Pixel,40.64 cm (16 Inch),"WUXGA, FHD+, 16:10, Refresh Rate 165Hz, Response Time (G2G) 7ms, Viewing Angle 170, IPS-level, Brightness 250nits, Contrast 1000:1, NTSC 72%, SRGB 100%, Adobe 75.35%, Anti-glare display",,ROG Strix G16,,,Yes,SSD,,"Gaming, Entertainment, Everyday Use, Learning, Performance, Processing & Multitasking, Travel & Business",,,,No,Gaming Laptop,"1 x Thunderbolt 4 support DisplayPort, 1 x USB 3.2 Gen 2 Type-C support DisplayPort / power delivery / G-SYNC, 2 x USB 3.2 Gen 2 Type-A",,Onsite,1 Year Onsite Warranty,720P HD camera,2.50 Kg,Wi-Fi 6E(802.11ax) (Triple band) 2*2,
,,,,,v5.2,Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home) 14IAH8 Thin an...,,,,,Max Turbo Frequency upto 4.40 GHz,Arctic Grey,,Manufacturing Defects,,,324.3 x 213.8 x 17.9 mm,Not Available,,,,,,,,,,Intel Integrated UHD,,1 x HDMI 1.4,,,,Yes,,"Backlit, English",,,Yes,,,14IAH8,14IAH8,,,Physical Damage,,,Windows 11 Home,,,83EQ0063IN,,65 W,"₹48,700",Intel,12th Gen,Core i5,12450H,8 GB,,LPDDR5,,,,,,,,Yes,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",1920 x 1080 Pixel,35.56 cm (14 Inch),"Full HD, TN 250nits Anti-glare",,IdeaPad Slim 3,,,Yes,SSD,,Processing & Multitasking,,,,No,Thin and Light Laptop,"2 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (support data transfer, Power Delivery and DisplayPort 1.2)",,Carry-in,1 Yr. Onsite,Full HD 1080p with Privacy Shutter,1.37 Kg,"Wi-Fi 6, 11ax 2x2",
,,,,3 Cell,v5.3,MSI Cyborg 14 Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA G...,,,,,"Base Frequency 1.8 GHz, Max Turbo Frequency Upto 4.9 GHz",Translucent Black,,Manufacturing Defects,6 GB,GDDR6,314.7 x 233.5 x 18.6 mm,Not Available,,2 Year,,,64 GB,,No,No,,NVIDIA GeForce RTX 4050,,1 x HDMI 2.1 (4K (at 60Hz)),,,Microsoft Office 2021,,1 Year,Blue Backlit Gaming Keyboard,No,,Yes,2,No,Cyborg 14 A13VE,Cyborg 14 A13VE-201IN,,No,"Physical Damage, Burn, Liquid Spill",,64 bit,Windows 11 Home,,,9S7-14P111-201,,120W Power Adapter,"₹89,990",Intel,13th Gen,Core i7,13620H,16 GB,5200 MHz,DDR5,No,Yes,,,,,,Yes,512 GB,"Laptop, Battery, Power Adapter, User Guide",1920 x 1200 Pixels,35.56 cm (14 inch),"Full HD+, Refresh Rate: 144Hz, 100% sRGB",,Cyborg 14,,,2W Dual Speaker,SSD,,"Entertainment, Gaming, Processing & Multitasking",Windows 11,,,No,Gaming Laptop,"1 x Type-C (USB 3.2 Gen2/DP), 2 x Type-A USB 3.2 Gen1",No,Carry-in,2 Year Warranty Term,HD Type 720p (at 30 fps),1.6 kg,802.11 ax Wi-Fi 6E,
,,,,,v5.2,Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home) 14IAH8 Thin an...,,,,,Max Turbo Frequency upto 4.40 GHz,Arctic Grey,,Manufacturing Defects,,,324.3 x 213.8 x 17.9 mm,Not Available,,,,,,,,,,Intel Integrated UHD,,1 x HDMI 1.4,,,,Yes,,"Backlit, English",,,Yes,,,14IAH8,14IAH8,,,Physical Damage,,,Windows 11 Home,,,83EQ0063IN,,65 W,"₹48,700",Intel,12th Gen,Core i5,12450H,8 GB,,LPDDR5,,,,,,,,Yes,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",1920 x 1080 Pixel,35.56 cm (14 Inch),"Full HD, TN 250nits Anti-glare",,IdeaPad Slim 3,,,Yes,SSD,,Processing & Multitasking,,,,No,Thin and Light Laptop,"2 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (support data transfer, Power Delivery and DisplayPort 1.2)",,Carry-in,1 Yr. Onsite,Full HD 1080p with Privacy Shutter,1.37 Kg,"Wi-Fi 6, 11ax 2x2",
,McAfee LiveSafe,Yes,Upto 10 Hours 15 minutes,3,v5.2,HP Pavilion AMD Ryzen 5 Hexa Core - (8 GB/512 GB SSD/Windows 11 Home) 14-ec0036AU Thin and Light Lapto...,,8,,,4.0,Natural Silver,,Manufacturing Defects,,DDR4,325 x 216.6 x 17.0mm,Not Available,No,1 Year,,,16,,No,No,,AMD Radeon AMD Radeon Graphics,,1 x HDMI,PCIe NVMe,,"Microsoft Office Home & Student 2019, HP Documentation, HP BIOS recovery, HP Smart",Built-in dual array microphone,,"Full-size, backlit, Natural Silver keyboard",,,No,,Yes,14-ec0036AU,14-ec0036AU,,No,Physical Damage,6,64 bit,Windows 11 Home,,,4X8O2PA#ACJ,HP Imagepad with multi-touch gesture support,65 W Smart AC power adapter,"₹49,990",AMD,,Ryzen 5 Hexa Core,,8 GB,,DDR4,,,,,,,,Yes,512 GB,"Laptop, battery, Power adapter, warranty document, user guide, USB Ethernet adapter",1920 x 1080 Pixel,35.56 cm (14 inch),"Full HD, IPS, micro-edge, BrightView (250 nits Brightness, 45% NTSC Color Gamut, 157 ppi)",,Pavilion,,Audio by B&O,,SSD,,Processing & Multitasking,Windows 11 Home,64,,No,Thin and Light Laptop,"1 x USB type C, 2 x USB type A",,Onsite,1 Year onsite Warranty,HP Wide Vision 720p HD camera,1.41 kg,Realtek Wi-Fi CERTIFIED 6,
,,,,,v5.3,MSI Thin A15 AMD Ryzen 7 Octa Core 7735HS - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFor...,,,,,3.2 Ghz to Max turbo frequency at 4.75 Ghz,Cosmos Gray,,Manufacturing Defects,8 GB,GDDR6,359 x 254 x 21.7 mm,Not Available,,,,,,,No,No,,NVIDIA GeForce RTX 4060,,1x HDMI 2.1 (8K 60Hz / 4K 120Hz),,,,Yes,,Blue Backlit Gaming Keyboard,,,No,,,Thin A15 B7VF-064IN,Thin A15 B7VF-064IN,,,"Physical Damage, Burn, Liquid Spill",,,Windows 11 Home,,,9S7-16RK11-064,,,"₹95,990",AMD,,Ryzen 7 Octa Core,7735HS,16 GB,,DDR5,,,,,,144 Hz,,Yes,1 TB,"Laptop,Battery,Power Adapter, User Guide",1920 X 1080 Pixel,39.62 cm (15.6 Inch),"FHD, 144Hz 45%NTSC IPS-Level",,Thin A15,,,Yes,SSD,,Gaming,,,,No,Gaming Laptop,"1 x Type-C (USB3.2 Gen2 / DP) with PD charging, 3 x Type-A USB3.2 Gen1",,Onsite,2 Year Onsite Warranty,HD type (30fps@720p),1.86 Kg,802.11 ax Wi-Fi 6E,
,,,,,v5.1,Lenovo Chromebook Intel Pentium Quad Core N100 - (4 GB/128 GB EMMC Storage/Chrome OS) 14IAN8 Chromeboo...,,,,,Max Frequency Up to 3.4 GHz,Storm Grey,,Manufacturing Defects,,,324.4 x 216.2 x 19.3 mm,Not Available,,,128 GB,,,,,No,,Intel Integrated UHD,,1x HDMI 1.4b,,,,Yes,,"Non-backlit, English",,,No,,,14IAN8,14IAN8,,,Physical Damage,,,Chrome,,,83BN001PHA,,,"₹18,990",Intel,,Pentium Quad Core,N100,4 GB,,LPDDR5,,,,,,,,No,,"Laptop, User manual, Adapter",1366 x 768 Pixel,35.56 cm (14 Inch),"HD, TN 250nits Anti-glare, 45% NTSC",,Chromebook,,,Yes,eMMC,,Processing & Multitasking,,,,No,Chromebook,"2 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 2 (support data transfer, Power Delivery and DisplayPort)",,Carry-In,1 Year Carry-in Warranty,HD 720p with Privacy Shutter,1.45 Kg,"MediaTek Wi-Fi 6 MT7921, 11ax 2x2",
,,No,,3 Cell,v5.2,MSI GF63 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,,,,,3.3 GHz upto max turbo frequency at 4.4 Ghz,Black,,Part Failure,4 GB,GDDR6,,Not Available,,2 Year,,,64 GB,4 TB,,,,NVIDIA GeForce RTX 2050,,,,,,Yes,,Single Backlit Keyboard (Red),,,No,,,Thin GF63 12UCX-266IN,Thin GF63 12UCX-266IN,,,"Physical Damage, Burn, Liquid Spill",,,Windows 11 Home,,,9S7-16R821-266,,,"₹68,986",Intel,12th Gen,Core i5,12450H,8 GB,,DDR4,,,,,,144 Hz,,Yes,512 GB,"Laptop, battery, power adapter, user guide",1920 x 1080 Pixel,39.62 cm (15.6 Inch),"Full HD, 144Hz 45%NTSC IPS-Level",,GF63,,,Build-in Dual Speakers,SSD,,Gaming,,,,No,Gaming Laptop,"1 x Type-C USB3.2 Gen1, 3 x Type-A USB3.2 Gen1",,Carry-in,2 Year Carry-in Warranty,HD type (30fps@728p),1.86 Kg,Intel Wi-Fi 6 AX201(2*2 ax),
,,Yes,Upto 10 Hours,,v5.2,Infinix ZEROBOOK 13 Intel Intel Core i7 13th Gen 13700H - (16 GB/512 GB SSD/Windows 11 Home) ZL513 Thi...,,,,,Max Turbo Frequency up to 5.00 GHz,Grey With Meteorite Phase Design,,Manufacturing Defects,,,323.3 x 211.1 x 16.95 mm,Not Available,,,,,,,,Yes,,Intel Integrated 96EU Iris Xe,,1 x HDMI 1.4,,,,Yes,,Full-size Backlit Chiclet Keyboard,,,Yes,,,ZL513,ZL513,,,Physical Damage,,,Windows 11 Home,,,71008301261,,,"₹71,990",Intel,13th Gen,Core i7,13700H,16 GB,,LPDDR5X,,,,,,,,Yes,512 GB,1 Laptop :: 1 Power Adaptor:: 1 User Guide:: 1 Warranty Documents,1920 x 1080 Pixel,38.86 cm (15.3 inch),"Full HD, IPS Display (400nits peak brightness, 100% sRGB, NTSC 72%)",,ZEROBOOK 13 Intel,,,Yes,SSD,,Processing & Multitasking,,,,No,Thin and Light Laptop,"Yes, 2 x USB 3.0, 2 x USB-C type",,Onsite,1 Year Onsite Warranty,Mi-Pi AI-enhanced FHD BeautyCam,1.80 Kg,2x2 Wi-Fi 6E R2(tri-band),
